[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1734881264
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
[SYS: 2025-02-15 23:37:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=985010992
