Times,I Value,J Value
16:47:51,2464.000000,682.666626
16:47:51,2464.000000,682.666626
16:47:51,2464.065430,682.666626
16:47:51,2464.194580,682.664551
16:47:51,2464.386719,682.660461
16:47:51,2464.640381,682.657288
16:47:51,2464.954346,682.652466
16:47:51,2465.327881,682.644531
16:47:51,2465.759521,682.635559
16:47:51,2466.248291,682.625305
16:47:51,2466.793213,682.611938
16:47:51,2467.393066,682.597534
16:47:51,2468.046631,682.581848
16:47:51,2468.753174,682.562805
16:47:51,2469.511963,682.540649
16:47:51,2470.321777,682.515442
16:47:51,2471.181152,682.489136
16:47:51,2472.089844,682.459351
16:47:51,2473.046631,682.426147
16:47:51,2474.050537,682.389465
16:47:51,2475.100830,682.351440
16:47:51,2476.197998,682.308044
16:47:51,2477.341553,682.262939
16:47:51,2478.531982,682.212280
16:47:51,2479.768799,682.157715
16:47:51,2481.052246,682.099060
16:47:51,2482.381836,682.036194
16:47:51,2483.757812,681.968994
16:47:51,2485.180176,681.897278
16:47:51,2486.648682,681.819153
16:47:51,2488.163330,681.735779
16:47:51,2489.724121,681.647217
16:47:51,2491.331055,681.551697
16:47:51,2492.984375,681.454651
16:47:51,2494.683350,681.350281
16:47:51,2496.428223,681.237427
16:47:51,2498.218750,681.117432
16:47:51,2500.054932,680.989014
16:47:51,2501.936768,680.853271
16:47:51,2503.864258,680.708801
16:47:51,2505.837646,680.559509
16:47:51,2507.856934,680.405212
16:47:51,2509.921875,680.243774
16:47:51,2512.031738,680.071228
16:47:51,2514.186768,679.887085
16:47:51,2516.386719,679.692749
16:47:51,2518.632080,679.491638
16:47:52,2520.922852,679.282410
16:47:52,2523.258789,679.065369
16:47:52,2525.639893,678.838928
16:47:52,2528.065918,678.603638
16:47:52,2530.536865,678.358093
16:47:52,2533.052734,678.102905
16:47:52,2535.613281,677.836853
16:47:52,2538.218506,677.560547
16:47:52,2540.868408,677.272827
16:47:52,2543.562744,676.974304
16:47:52,2546.301270,676.663879
16:47:52,2549.084229,676.340820
16:47:52,2551.911377,676.005920
16:47:52,2554.782471,675.658142
16:47:52,2557.697754,675.298157
16:47:52,2560.656738,674.924927
16:47:52,2563.659668,674.539185
16:47:52,2566.706299,674.139832
16:47:52,2569.796631,673.726196
16:47:52,2572.931152,673.302002
16:47:52,2576.108887,672.863098
16:47:52,2579.330566,672.451416
16:47:52,2582.597412,672.041870
16:47:52,2585.909180,671.632935
16:47:52,2589.266113,671.226196
16:47:52,2592.667969,670.821167
16:47:52,2596.114746,670.419067
16:47:52,2599.606689,670.020630
16:47:52,2603.143799,669.627808
16:47:52,2606.725830,669.240845
16:47:52,2610.352783,668.857056
16:47:52,2614.024658,668.477112
16:47:52,2617.741455,668.103027
16:47:52,2621.503174,667.735229
16:47:52,2625.309570,667.374207
16:47:52,2629.160645,667.021729
16:47:52,2633.056396,666.677917
16:47:52,2636.996826,666.343018
16:47:52,2640.981689,666.017395
16:47:52,2645.010986,665.702515
16:47:52,2649.084473,665.398438
16:47:52,2653.202148,665.105286
16:47:52,2657.363770,664.818848
16:47:52,2661.569336,664.544373
16:47:52,2665.818848,664.283203
16:47:52,2670.112061,664.035217
16:47:52,2674.448975,663.800476
16:47:52,2678.829346,663.574585
16:47:52,2683.253174,663.362732
16:47:52,2687.720215,663.165039
16:47:52,2692.230225,662.981567
16:47:52,2696.783203,662.812439
16:47:52,2701.379150,662.653259
16:47:52,2706.017822,662.504822
16:47:52,2710.699219,662.367737
16:47:52,2715.423340,662.242615
16:47:52,2720.189941,662.130066
16:47:52,2724.999023,662.029358
16:47:52,2729.850342,661.941223
16:47:52,2734.743896,661.865051
16:47:53,2739.679443,661.801697
16:47:53,2744.656982,661.750488
16:47:53,2749.676514,661.711060
16:47:53,2754.737793,661.684326
16:47:53,2759.840576,661.669739
16:47:53,2764.984619,661.671509
16:47:53,2770.169922,661.690125
16:47:53,2775.396240,661.725830
16:47:53,2780.663574,661.777649
16:47:53,2785.971924,661.846191
16:47:53,2791.321533,661.927307
16:47:53,2796.711914,662.026306
16:47:53,2802.142822,662.144714
16:47:53,2807.614258,662.282532
16:47:53,2813.125977,662.439941
16:47:53,2818.678467,662.612671
16:47:53,2824.271240,662.805786
16:47:53,2829.903809,663.020691
16:47:53,2835.576660,663.226013
16:47:53,2841.290527,663.437195
16:47:53,2847.045166,663.658081
16:47:53,2852.840576,663.887878
16:47:53,2858.676758,664.125854
16:47:53,2864.553711,664.371338
16:47:53,2870.471436,664.618042
16:47:53,2876.430176,664.864990
16:47:53,2882.429932,665.111267
16:47:53,2888.470459,665.354736
16:47:53,2894.551758,665.594910
16:47:53,2900.674072,665.833313
16:47:53,2906.837158,666.069458
16:47:53,2913.041016,666.301392
16:47:53,2919.285645,666.527466
16:47:53,2925.571045,666.746277
16:47:53,2931.896973,666.960938
16:47:53,2938.263428,667.165283
16:47:53,2944.670410,667.359436
16:47:53,2951.117676,667.542114
16:47:53,2957.605225,667.712280
16:47:53,2964.133057,667.870239
16:47:53,2970.700928,668.014832
16:47:53,2977.308838,668.146301
16:47:53,2983.956543,668.263611
16:47:53,2990.644043,668.367126
16:47:53,2997.371094,668.455750
16:47:53,3004.137695,668.529907
16:47:53,3010.943848,668.588562
16:47:53,3017.789307,668.632080
16:47:53,3024.673828,668.659485
16:47:53,3031.597412,668.671143
16:47:53,3038.559814,668.666138
16:47:53,3045.561035,668.643738
16:47:53,3052.601074,668.604370
16:47:53,3059.679688,668.548340
16:47:53,3066.797119,668.474792
16:47:53,3073.952881,668.382935
16:47:53,3081.146973,668.273315
16:47:53,3088.379395,668.146240
16:47:53,3095.650146,668.000793
16:47:53,3102.959229,667.837463
16:47:54,3110.306152,667.655396
16:47:54,3117.691162,667.455017
16:47:54,3125.114014,667.235413
16:47:54,3132.574707,666.997131
16:47:54,3140.073242,666.739197
16:47:54,3147.609375,666.462158
16:47:54,3155.183105,666.165100
16:47:54,3162.794189,665.848511
16:47:54,3170.442627,665.511597
16:47:54,3178.128418,665.154724
16:47:54,3185.851318,664.777100
16:47:54,3193.611328,664.379150
16:47:54,3201.408203,663.960083
16:47:54,3209.241943,663.520325
16:47:54,3217.112549,663.059021
16:47:54,3225.019775,662.576660
16:47:54,3232.963623,662.072449
16:47:54,3240.943848,661.546753
16:47:54,3248.960449,660.998840
16:47:54,3257.013184,660.427979
16:47:54,3265.102051,659.834656
16:47:54,3273.227051,659.219238
16:47:54,3281.387939,658.580933
16:47:54,3289.584717,657.920166
16:47:54,3297.817139,657.236084
16:47:54,3306.085205,656.529175
16:47:54,3314.388916,655.798645
16:47:54,3322.727783,655.043823
16:47:54,3331.102051,654.265137
16:47:54,3339.511475,653.462952
16:47:54,3347.956055,652.636475
16:47:54,3356.435303,651.785034
16:47:54,3364.949463,650.909119
16:47:54,3373.499512,650.016602
16:47:54,3382.085449,649.107361
16:47:54,3390.707520,648.182312
16:47:54,3399.365234,647.241150
16:47:54,3408.058838,646.284729
16:47:54,3416.788574,645.313782
16:47:54,3425.554443,644.330078
16:47:54,3434.356445,643.334106
16:47:54,3443.194824,642.327576
16:47:54,3452.069580,641.311829
16:47:54,3460.980957,640.288269
16:47:54,3469.929199,639.258179
16:47:54,3478.914307,638.223877
16:47:54,3487.936279,637.186279
16:47:54,3496.995605,636.147461
16:47:54,3506.092041,635.108276
16:47:54,3515.225830,634.070618
16:47:54,3524.396973,633.036194
16:47:54,3533.605469,632.006714
16:47:54,3542.851562,630.983643
16:47:54,3552.134766,629.963013
16:47:54,3561.455566,628.950989
16:47:54,3570.813965,627.948853
16:47:54,3580.209961,626.957886
16:47:54,3589.643311,625.978210
16:47:54,3599.114014,625.011108
16:47:54,3608.622070,624.053345
16:47:55,3618.167480,623.109497
16:47:55,3627.750000,622.180725
16:47:55,3637.369873,621.268005
16:47:55,3647.026855,620.371277
16:47:55,3656.720947,619.491516
16:47:55,3666.451904,618.625366
16:47:55,3676.219727,617.777161
16:47:55,3686.024414,616.947937
16:47:55,3695.865723,616.137390
16:47:55,3705.743408,615.346497
16:47:55,3715.657715,614.574951
16:47:55,3725.608398,613.823669
16:47:55,3735.595215,613.093567
16:47:55,3745.618164,612.384216
16:47:55,3755.677002,611.700989
16:47:55,3765.771484,611.044373
16:47:55,3775.899902,610.427002
16:47:55,3786.063232,609.841187
16:47:55,3796.261230,609.288208
16:47:55,3806.493164,608.775024
16:47:55,3816.758545,608.303528
16:47:55,3827.057617,607.871216
16:47:55,3837.389893,607.480164
16:47:55,3847.754150,607.137939
16:47:55,3858.149902,606.847168
16:47:55,3868.232910,606.616211
16:47:55,3878.003418,606.441223
16:47:55,3887.459473,606.328369
16:47:55,3896.601318,606.272827
16:47:55,3905.427490,606.278748
16:47:55,3913.939209,606.340637
16:47:55,3922.134766,606.460999
16:47:55,3930.360840,606.643799
16:47:55,3938.616943,606.889771
16:47:55,3946.902832,607.198486
16:47:55,3955.217529,607.570862
16:47:55,3963.560791,608.007629
16:47:55,3971.931885,608.508423
16:47:55,3980.330566,609.074036
16:47:55,3988.756104,609.704163
16:47:55,3997.208008,610.399658
16:47:55,4005.686035,611.160156
16:47:55,4014.189453,611.986572
16:47:55,4022.717773,612.878601
16:47:55,4031.270264,613.837158
16:47:55,4039.846680,614.861877
16:47:55,4048.116211,615.908936
16:47:55,4056.079590,616.976013
16:47:55,4064.066406,618.110107
16:47:55,4072.076172,619.310791
16:47:55,4080.108398,620.577698
16:47:55,4088.161133,621.914368
16:47:55,4096.235840,623.316345
16:47:55,4104.330078,624.788330
16:47:55,4112.363770,626.337402
16:47:55,4120.344238,627.952942
16:47:55,4128.273438,629.632324
16:47:55,4136.146973,631.379883
16:47:55,4143.966309,633.193481
16:47:55,4151.729492,635.074524
16:47:56,4159.432129,637.027344
16:47:56,4167.075195,639.050293
16:47:56,4174.656250,641.145691
16:47:56,4182.173340,643.314514
16:47:56,4189.626465,645.555542
16:47:56,4197.013184,647.870422
16:47:56,4204.331543,650.259766
16:47:56,4211.579102,652.724976
16:47:56,4218.753906,655.266235
16:47:56,4225.854004,657.883667
16:47:56,4232.879883,660.575317
16:47:56,4239.826660,663.343872
16:47:56,4246.752930,666.218811
16:47:56,4253.656250,669.200500
16:47:56,4260.535156,672.289062
16:47:56,4267.387695,675.483826
16:47:56,4274.212402,678.784241
16:47:56,4281.008301,682.189819
16:47:56,4287.720703,685.661987
16:47:56,4294.349121,689.199463
16:47:56,4300.943848,692.841003
16:47:56,4307.508301,696.582947
16:47:56,4314.041504,700.424316
16:47:56,4320.538574,704.366638
16:47:56,4326.952637,708.364746
16:47:56,4333.282715,712.417725
16:47:56,4339.524902,716.526917
16:47:56,4345.727539,720.734253
16:47:56,4351.894531,725.035889
16:47:56,4358.020996,729.433472
16:47:56,4364.106934,733.925415
16:47:56,4370.151367,738.511047
16:47:56,4376.154297,743.188904
16:47:56,4382.114258,747.958496
16:47:56,4388.031250,752.818481
16:47:56,4393.900391,757.770203
16:47:56,4399.725586,762.810425
16:47:56,4405.500977,767.940491
16:47:56,4411.225098,773.160278
16:47:56,4416.829590,778.475769
16:47:56,4422.301758,783.836731
16:47:56,4427.635742,789.241699
16:47:56,4432.828125,794.689514
16:47:56,4437.878418,800.179321
16:47:56,4442.818359,805.764038
16:47:56,4447.642090,811.442627
16:47:56,4452.342773,817.213684
16:47:56,4456.913574,823.075439
16:47:56,4461.347168,829.025513
16:47:56,4465.641113,835.061768
16:47:56,4469.789062,841.181152
16:47:56,4473.783203,847.380371
16:47:56,4477.617188,853.655396
16:47:56,4481.284668,860.001770
16:47:56,4484.782227,866.416321
16:47:56,4488.103516,872.893799
16:47:56,4491.243164,879.428711
16:47:56,4494.195801,886.015381
16:47:56,4496.961426,892.649902
16:47:56,4499.534668,899.326294
16:47:57,4501.911621,906.038269
16:47:57,4504.084473,912.776855
16:47:57,4506.053711,919.537842
16:47:57,4507.816406,926.314514
16:47:57,4509.369629,933.099915
16:47:57,4510.711914,939.887329
16:47:57,4511.844238,946.672668
16:47:57,4512.761719,953.445923
16:47:57,4513.462402,960.199646
16:47:57,4513.948730,966.929993
16:47:57,4514.225586,973.636536
