Times,Angle,Cur,Diff,Control
00:07.16,173.042236,183.0,-9.957764,0.497888
00:07.18,172.978973,182.0,-9.021027,0.202107
00:07.20,172.916428,182.0,-9.083572,0.228653
00:07.21,172.854965,181.0,-8.145035,0.180162
00:07.23,172.794998,180.0,-7.205002,0.156624
00:07.24,172.736984,179.0,-6.263016,0.133026
00:07.26,172.681381,178.0,-5.318619,0.109356
00:07.28,172.628647,177.0,-4.371353,0.085602
00:07.29,172.579285,176.0,-3.420715,0.061752
00:07.31,172.533829,174.0,-1.466171,0.012209
00:07.32,172.489716,173.0,-0.510284,0.01114
00:07.34,172.447556,172.0,0.447556,0.035135
00:07.36,172.40773,171.0,1.40773,0.059198
00:07.37,172.370667,170.0,2.370667,0.08334
00:07.39,172.336594,170.0,2.336594,0.057563
00:07.40,172.305695,169.0,3.305695,0.10687
00:07.42,172.278046,168.0,4.278046,0.13126
00:07.44,172.25386,168.0,4.25386,0.105742
00:07.45,172.233093,168.0,4.233093,0.105308
00:12.40,-40.976677,275.0,44.023315,1.5
00:12.41,-39.502544,276.0,44.497467,1.12429
00:12.43,-38.055065,277.0,44.944946,1.134811
00:12.44,-36.63361,279.0,44.366394,1.094696
00:12.46,-35.237526,280.0,44.762482,1.128964
00:12.48,-33.865974,281.0,45.134033,1.13764
00:12.49,-32.518311,282.0,45.481689,1.145734
00:12.51,-31.193697,283.0,45.806305,1.153273
00:12.52,-39.058601,284.0,36.941406,0.701913
00:12.54,-38.443371,285.0,36.556641,0.904297
00:12.56,-37.844036,287.0,35.155975,0.843883
00:12.57,-37.260399,288.0,34.739594,0.85808
00:12.59,-36.692417,289.0,34.307587,0.846889
00:12.60,-36.14006,290.0,33.859924,0.835307
00:12.62,-35.60331,291.0,33.396698,0.823337
00:12.64,-35.082077,293.0,31.917908,0.760978
00:12.65,-34.575939,294.0,31.424072,0.773256
00:12.67,-34.084454,295.0,30.915558,0.760176
00:12.68,-33.607117,296.0,30.392883,0.746755
00:12.70,-33.143188,298.0,28.856812,0.683019
00:12.72,-32.692108,299.0,28.307892,0.693974
00:12.73,-32.253265,300.0,27.746735,0.679639
00:12.75,-31.826269,301.0,27.173737,0.665018
00:12.76,-31.410658,303.0,25.589355,0.600124
00:12.78,-31.006155,304.0,24.993835,0.609958
00:12.80,-30.612528,305.0,24.387482,0.594528
00:12.81,-30.229591,307.0,22.770416,0.528834
00:12.83,-29.857208,308.0,22.142792,0.537879
00:12.84,-29.495296,309.0,21.5047,0.521665
00:12.86,-29.143917,311.0,19.856079,0.455186
00:12.88,-28.803051,312.0,19.19696,0.463446
00:12.89,-28.472837,313.0,18.527161,0.446434
00:12.91,-28.153452,315.0,16.846558,0.379149
00:12.92,-27.845098,316.0,16.154907,0.386581
00:12.94,-27.548014,318.0,14.451996,0.318727
00:12.96,-27.262606,319.0,13.737396,0.32557
00:12.97,-26.989286,321.0,12.010712,0.257101
00:12.99,-26.73069,322.0,11.269318,0.263198
00:13.00,-26.479292,323.0,10.520721,0.244303
00:13.02,-26.235502,324.0,9.764496,0.225207
00:40.00,-40.071747,292.0,27.928253,1.1523
