Times,Angle,Cur,Diff,Control
16:39:07,173.124161,187.0,-13.875839,0.693792
16:39:07,173.033676,187.0,-13.966324,0.35142
16:39:07,172.941177,187.0,-14.058823,0.353783
16:39:07,172.85025,187.0,-14.14975,0.356017
16:39:07,172.759827,187.0,-14.240173,0.358265
16:39:07,172.670029,186.0,-13.329971,0.310494
16:39:07,172.581039,185.0,-12.418961,0.287699
16:39:07,172.493118,184.0,-11.506882,0.26487
16:39:07,172.406601,183.0,-10.593399,0.241998
16:39:07,172.321625,182.0,-9.678375,0.219084
16:39:07,172.238617,181.0,-8.761383,0.19611
16:39:07,172.157944,180.0,-7.842056,0.173068
16:39:07,172.079941,178.0,-5.920059,0.099952
16:39:07,172.005112,177.0,-4.994888,0.101743
16:39:07,171.933884,176.0,-4.066116,0.078434
16:39:07,171.866364,174.0,-2.133636,0.005029
16:39:07,171.803223,173.0,-1.196777,0.006498
16:39:07,171.744736,172.0,-0.255264,0.017156
16:39:07,171.691345,170.0,1.691345,0.090949
16:39:07,171.643494,169.0,2.643494,0.089891
16:39:07,171.601578,168.0,3.601578,0.113992
16:39:07,171.566025,167.0,4.566025,0.138262
16:39:07,171.537186,165.0,6.537186,0.212709
16:39:07,171.511047,164.0,7.511047,0.212123
16:39:07,171.488129,164.0,7.488129,0.18663
16:39:07,171.468216,164.0,7.468216,0.186208
16:39:07,171.451324,163.0,8.451324,0.235861
16:39:07,171.437347,164.0,7.437347,0.160584
16:39:07,171.425919,164.0,7.425919,0.185362
16:39:07,171.416382,165.0,6.416382,0.135171
16:39:07,171.408859,165.0,6.408859,0.160033
16:39:07,171.402512,166.0,5.402512,0.109904
16:39:07,171.396942,167.0,4.396942,0.084784
16:39:08,167.746933,194.0,-26.253067,1.422577
16:39:08,167.444473,194.0,-26.555527,0.67145
16:39:08,167.128387,194.0,-26.871613,0.679692
16:39:08,166.808853,194.0,-27.191147,0.687767
16:39:08,166.481522,193.0,-26.518478,0.646145
16:39:08,166.146606,192.0,-25.853394,0.629708
16:39:08,165.80452,191.0,-25.19548,0.613439
16:39:08,165.45578,190.0,-24.54422,0.597324
16:39:08,165.100754,188.0,-22.899246,0.531357
16:39:08,164.74028,187.0,-22.25972,0.540505
16:39:08,164.374817,185.0,-20.625183,0.474766
16:39:08,164.00499,183.0,-18.99501,0.434121
16:39:08,163.631943,181.0,-17.368057,0.393528
16:39:08,163.256561,179.0,-15.743439,0.352971
16:39:08,162.880096,177.0,-14.119904,0.312409
16:39:08,162.503571,175.0,-12.496429,0.271824
16:39:08,162.128021,173.0,-10.871979,0.231188
16:39:08,161.754944,170.0,-8.245056,0.140453
16:39:08,161.385437,168.0,-6.614563,0.124602
16:39:08,161.020569,166.0,-4.979431,0.083607
16:39:08,160.661377,164.0,-3.338623,0.042445
16:39:08,160.309341,162.0,-1.690659,0.001067
16:39:08,159.965454,160.0,-0.034546,0.040539
16:39:08,159.631226,158.0,1.631226,0.082425
16:39:08,159.308029,157.0,2.308029,0.074621
16:39:08,158.996964,155.0,3.996964,0.142147
16:39:08,158.702087,153.0,5.702087,0.18518
16:39:08,158.424515,152.0,6.424515,0.178674
16:39:08,158.15593,151.0,7.15593,0.197184
16:39:08,157.896347,150.0,7.896347,0.215919
16:39:08,157.646011,150.0,7.646011,0.184892
16:39:08,157.404877,149.0,8.404877,0.229094
16:39:08,157.172363,149.0,8.172363,0.198496
16:39:08,156.947769,150.0,6.947769,0.143079
16:39:08,156.729843,150.0,6.729843,0.162798
16:39:35,90.055878,51.0,39.055878,1.5
16:39:35,93.285934,53.0,40.285934,1.0379
16:39:35,96.560051,55.0,41.560051,1.070854
16:39:35,99.852882,57.0,42.852882,1.103643
16:39:35,103.152344,60.0,43.152344,1.086295
16:39:35,106.442261,62.0,44.442261,1.143304
16:39:35,109.706184,64.0,45.706184,1.174253
16:39:35,112.929451,66.0,46.929451,1.203818
16:39:35,116.097351,68.0,48.097351,1.231631
16:39:35,119.196609,70.0,49.196609,1.257397
16:39:35,121.681023,72.0,49.681023,1.254136
16:39:35,124.25872,74.0,50.25872,1.270911
16:39:35,126.831253,76.0,50.831253,1.285095
16:39:35,129.377213,78.0,51.377213,1.298079
16:39:35,131.867447,80.0,51.867447,1.308942
16:39:35,134.297836,82.0,52.297836,1.318206
16:39:35,136.66481,84.0,52.66481,1.325795
