Run,Bot1_Completion_Time,Bot2_Completion_Time,Bot1_Avg_Control,Bot2_Avg_Control
1,45.04,45.02,0.341670325848564,0.25408090195381877
2,47.93,48.3,0.49166623163587203,0.2616989894039735
3,46.81,46.8,0.44443407616822433,0.26020314217361584
4,48.43,48.41,0.49980211878453035,0.259956332011893
5,48.33,48.67,0.49711317261635796,0.2659986342425238
6,44.83,44.81,0.33834540348902636,0.2652076716630978
7,48.96,48.94,0.4865642843951985,0.26237591797385623
8,47.85,47.84,0.4454652687673772,0.2639234165830826
9,48.06,48.04,0.446979075462963,0.2578254237683089
10,50.62,50.6,0.5058834269366197,0.2670673991782554
11,44.91,45.16,0.3375104413646055,0.25664148087818694
12,49.56,49.55,0.45624866914660833,0.25750045319561005
13,52.46,52.48,0.5576941918484973,0.2566106065224017
14,52.3,52.44,0.555724745945946,0.25455050899664533
15,51.53,51.77,0.49063540752864154,0.25690927957985793
16,46.8,47.0,0.36253293582887697,0.2586577186117727
17,52.48,52.49,0.5357757784663052,0.25499760054844606
18,52.52,52.49,0.5764120456794823,0.2514725847044485
19,52.51,52.49,0.8284135080156749,0.2528486392443632
20,52.51,52.49,0.6768718209718669,0.2632444765386959
21,49.66,49.64,0.4065308477772788,0.2642986014819587
22,52.52,52.49,0.8693879872457774,0.26139047562461915
23,49.16,49.15,0.7170745026415095,0.25736287992190043
24,52.51,52.49,1.1400184803664921,0.2623476489945155
25,52.51,52.48,1.1953037220630374,0.25831943279487957
26,45.32,45.48,0.6384803553648069,0.2630902928973277
27,52.49,52.48,0.9858757940789473,0.2587984910088388
28,52.54,52.51,1.096811289456869,0.2528085702101736
29,52.48,52.46,1.1065406314940303,0.26530480487804875
30,52.49,52.48,1.185427980044346,0.2519996903383115
31,52.51,52.49,1.317055452268111,0.253496803778184
