Lag,Bot1_Completion_Time,Bot2_Completion_Time,Bot1_Avg_Control,Bot2_Avg_Control,Bot1_Avg_Angle_Error,Bot2_Avg_Angle_Error
0,44.12,44.14,0.3773514170999422,0.2832333902173913,9.682671436164068,7.3149345547101445
10,42.96,43.29,0.39649331050493325,0.28470404950129297,10.235636193267556,7.326812439601035
20,44.22,44.44,0.454216312572759,0.27895363979848864,11.905942805587895,7.226487727240015
30,44.14,44.33,0.448046463880597,0.2745978784271284,11.72821515641791,7.096505443722944
40,44.43,44.41,0.4474983557531962,0.2826659899171768,11.771745257365202,7.282394033489378
50,43.64,43.61,0.3756779777242625,0.2763239328932893,9.80061466586394,7.137043964429776
60,44.49,44.6,0.43883379344955104,0.277370678020796,11.521132322239831,7.168595845464322
70,45.95,45.93,0.4415993657701711,0.2816335860027855,11.623042592176038,7.240235277506965
80,43.87,43.84,0.3943753796498906,0.2920962199927034,10.34836093763676,7.508272509303174
90,45.42,45.4,0.4156910388625592,0.27640750792532587,10.980356719431278,7.107805234941878
100,43.71,43.95,0.3715166335540839,0.27711229112081515,9.723735294701987,7.154632033114991
110,48.51,48.51,0.46060741084945334,0.2866343428948236,12.205703061396132,7.425131815034619
120,47.45,47.44,0.4417316901524516,0.27705937795010116,11.698855112896581,7.1240465906945385
130,48.11,48.09,0.45175373373983746,0.29612593481875626,11.939688245528455,7.657597504156967
140,49.56,49.55,0.4946159687738005,0.2828003092317624,13.088696766184311,7.30482114590058
150,48.08,48.06,0.440070784575614,0.29129481597337775,11.616220433433865,7.502269475873544
160,50.67,50.65,0.4946258190094683,0.29275256078307543,13.088941075018207,7.520378728765393
170,52.49,52.46,0.5814445803233574,0.2780164286585366,15.402193655658756,7.172700703353659
180,52.46,52.49,0.5945278894181694,0.2909552861060329,15.747987876828853,7.495237343083485
190,52.51,52.48,0.6541921061320755,0.2817686053032612,17.278903586927225,7.246596078634562
200,52.51,52.49,0.6425865386560693,0.27495727391834246,17.011361233381503,7.095809454905545
210,52.51,52.49,1.0132065178926442,0.2809995514929921,32.42929911398277,7.235418359232177
220,52.51,52.48,1.624036480429293,0.27996430661383725,149.34804642266414,7.2388960682718695
230,47.4,47.39,1.4244926910569105,0.2777338052649342,46.204656450689285,7.152356753290584
240,52.51,52.48,1.6690665535939473,0.2814465166107894,58.86221346153846,7.253143844254801
250,52.49,52.48,1.6526299646258502,0.27272590612618103,71.41924417176871,7.025857577567816
260,52.49,52.48,1.6558228552050474,0.2775024349283755,59.514301304416406,7.161132124352334
270,52.51,52.48,1.7527267251572327,0.2797214596159707,70.49844922201258,7.178204395001524
280,52.51,52.49,1.7641356881079386,0.27611556185252895,281.7784918261688,7.087826209323584
290,52.51,52.49,1.7597178969621046,0.27861460786106035,72.22300147635453,7.192336396404632
300,52.51,52.49,1.7715913478840388,0.2847057934186472,72.54513202799068,7.337673419256552
