lag,bot1_completion_time,bot2_completion_time,avg_control,avg_angle_error
0,44.94,44.16,0.3445531197220738,13.42634800160342
10,46.84,44.27,0.44469129474708163,17.604062991245137
20,48.83,44.19,0.49593472799646166,19.772813788589122
30,47.31,44.16,0.4837335957235206,19.13083681253108
40,47.85,44.06,0.4734618517290384,18.72165768498342
50,44.89,44.22,0.33863156727073035,13.249111492037342
60,49.1,44.08,0.5074901955922865,20.082829056473827
70,50.06,44.09,0.5001372115732369,20.015123763562386
80,48.49,44.33,0.44062648606115107,17.854632058902876
90,50.4,44.28,0.4939733796744391,19.72671241926969
100,45.61,43.9,0.342155521098119,13.381238564311134
110,51.36,44.36,0.5128107897503286,20.755880629872973
140,49.72,44.28,0.7652490519889721,304.12317315911775
150,47.36,44.25,0.3569506310588236,14.036389612235293
