lag,bot1_completion_time,bot2_completion_time,avg_control,avg_angle_error,assist
0,44.94,44.16,0.3445531197220738,13.42634800160342,1.0
10,46.84,44.27,0.4446912947470816,17.604062991245137,1.0
20,48.83,44.19,0.4959347279964616,19.77281378858912,1.0
30,47.31,44.16,0.4837335957235206,19.13083681253108,1.0
40,47.85,44.06,0.4734618517290384,18.72165768498342,1.0
50,44.89,44.22,0.3386315672707303,13.249111492037342,1.0
60,49.1,44.08,0.5074901955922865,20.082829056473827,1.0
70,50.06,44.09,0.5001372115732369,20.015123763562386,1.0
80,48.49,44.33,0.440626486061151,17.854632058902876,1.0
90,50.4,44.28,0.4939733796744391,19.72671241926969,1.0
100,45.61,43.9,0.342155521098119,13.381238564311134,1.0
110,51.36,44.36,0.5128107897503286,20.755880629872973,1.0
140,49.72,44.28,0.7652490519889721,304.1231731591177,1.0
150,47.36,44.25,0.3569506310588236,14.036389612235292,1.0
