player,condition,lag,off_track_percentage
F,1.0 Control Assistance,0 Lag,2.2127463741700404
F,0.0 Control Assistance,0 Lag,6.8080252065943245
F,0.2 Control Assistance,0 Lag,3.3992241294880685
F,1.0 Control Assistance,100 Lag,1.9802138524118849
F,0.0 Control Assistance,100 Lag,6.689678046694172
F,0.2 Control Assistance,100 Lag,6.746496660241353
J,1.0 Control Assistance,0 Lag,1.1688338034742967
J,0.0 Control Assistance,0 Lag,0.4675346791636291
J,0.2 Control Assistance,0 Lag,3.7200599940105668
J,1.0 Control Assistance,100 Lag,0.4583920839208407
J,0.0 Control Assistance,100 Lag,3.237726571109093
J,0.2 Control Assistance,100 Lag,3.227087887599287
M,1.0 Control Assistance,0 Lag,1.2504550710655054
M,0.0 Control Assistance,0 Lag,9.55348967984138
M,0.2 Control Assistance,0 Lag,3.6786671275872207
M,1.0 Control Assistance,100 Lag,5.2205684598987965
M,0.0 Control Assistance,100 Lag,0.0
M,0.2 Control Assistance,100 Lag,6.779677901780312
