player,condition,lag,collision_count
F,1.0 Control Assistance,0 Lag,5.4
F,0.0 Control Assistance,0 Lag,7.6
F,0.2 Control Assistance,0 Lag,18.0
F,1.0 Control Assistance,200 Lag,15.4
F,0.0 Control Assistance,200 Lag,3.4
F,0.2 Control Assistance,200 Lag,6.0
J,1.0 Control Assistance,0 Lag,22.4
J,0.0 Control Assistance,0 Lag,3.6
J,0.2 Control Assistance,0 Lag,0.8
J,1.0 Control Assistance,200 Lag,22.2
J,0.0 Control Assistance,200 Lag,4.6
J,0.2 Control Assistance,200 Lag,11.0
M,1.0 Control Assistance,0 Lag,10.8
M,0.0 Control Assistance,0 Lag,2.0
M,0.2 Control Assistance,0 Lag,1.2
M,1.0 Control Assistance,200 Lag,14.0
M,0.0 Control Assistance,200 Lag,9.4
M,0.2 Control Assistance,200 Lag,2.6
