player,condition,lag,off_track_percentage
F,1.0 Control Assistance,0 Lag,2.866667693729681
F,0.0 Control Assistance,0 Lag,4.933658641057859
F,0.2 Control Assistance,0 Lag,5.422036570637994
F,1.0 Control Assistance,200 Lag,1.82626069119218
F,0.0 Control Assistance,200 Lag,6.340826741078091
F,0.2 Control Assistance,200 Lag,4.516602086157921
J,1.0 Control Assistance,0 Lag,2.531568467397867
J,0.0 Control Assistance,0 Lag,1.4338655741134514
J,0.2 Control Assistance,0 Lag,2.9829094072089704
J,1.0 Control Assistance,200 Lag,0.6554359909251636
J,0.0 Control Assistance,200 Lag,3.6850659080119166
J,0.2 Control Assistance,200 Lag,4.6947382714328425
M,1.0 Control Assistance,0 Lag,1.031973279031106
M,0.0 Control Assistance,0 Lag,8.789370674901841
M,0.2 Control Assistance,0 Lag,5.0479042134482714
M,1.0 Control Assistance,200 Lag,0.614525841865656
M,0.0 Control Assistance,200 Lag,4.14036846756588
M,0.2 Control Assistance,200 Lag,5.469867251242301
