condition,player,mean_time,std_time,type,lag
0.0 Control Assistance,Bot,44.18,0.21,bot,0 Lag
0.0 Control Assistance,Bot,44.07,0.07,bot,0 Lag
0.0 Control Assistance,Bot,43.85,0.23,bot,0 Lag
0.0 Control Assistance,Bot,44.19,0.34,bot,200 Lag
0.0 Control Assistance,Bot,44.06,0.17,bot,200 Lag
0.0 Control Assistance,Bot,44.07,0.12,bot,200 Lag
0.2 Control Assistance,Bot,44.21,0.22,bot,0 Lag
0.2 Control Assistance,Bot,43.92,0.12,bot,0 Lag
0.2 Control Assistance,Bot,44.0,0.17,bot,0 Lag
0.2 Control Assistance,Bot,44.05,0.06,bot,200 Lag
0.2 Control Assistance,Bot,44.05,0.17,bot,200 Lag
0.2 Control Assistance,Bot,43.85,0.12,bot,200 Lag
1.0 Control Assistance,Bot,43.96,0.12,bot,0 Lag
1.0 Control Assistance,Bot,44.03,0.14,bot,0 Lag
1.0 Control Assistance,Bot,44.2,0.22,bot,0 Lag
1.0 Control Assistance,Bot,44.04,0.1,bot,200 Lag
1.0 Control Assistance,Bot,44.06,0.1,bot,200 Lag
1.0 Control Assistance,Bot,44.05,0.12,bot,200 Lag
0.0 Control Assistance,F,45.85,0.74,player,0 Lag
0.0 Control Assistance,F,46.11,0.51,player,200 Lag
0.2 Control Assistance,F,44.69,0.42,player,0 Lag
0.2 Control Assistance,F,44.7,0.61,player,200 Lag
1.0 Control Assistance,F,44.32,0.48,player,0 Lag
1.0 Control Assistance,F,44.0,0.24,player,200 Lag
0.0 Control Assistance,J,42.51,0.5,player,0 Lag
0.0 Control Assistance,J,43.58,0.4,player,200 Lag
0.2 Control Assistance,J,42.28,0.15,player,0 Lag
0.2 Control Assistance,J,43.68,0.44,player,200 Lag
1.0 Control Assistance,J,44.25,0.41,player,0 Lag
1.0 Control Assistance,J,43.89,0.2,player,200 Lag
0.0 Control Assistance,M,41.7,0.56,player,0 Lag
0.0 Control Assistance,M,44.01,0.79,player,200 Lag
0.2 Control Assistance,M,42.37,0.76,player,0 Lag
0.2 Control Assistance,M,42.89,0.44,player,200 Lag
1.0 Control Assistance,M,44.1,0.49,player,0 Lag
1.0 Control Assistance,M,44.26,0.41,player,200 Lag
