[SYS: 2024-11-23 15:32:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1513675424
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1066036256
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1066036256
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1066036256
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1066036256
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1066036256
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1513367168
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1511489680
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1511385328
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1497125968
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1504019888
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1533045568
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1533045504
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1533045568
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1470284800
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1511769712
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1497780240
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1498276176
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1533045504
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1478681856
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1533045504
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1512795440
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1513392064
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1478429088
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1512315488
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1533045568
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1533045504
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1512784144
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1497367472
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1512784144
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1503883072
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1478469328
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1533045504
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1478706016
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1533045504
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1478534624
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1497312160
[SYS: 2024-11-23 15:32:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1478534624
