[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-262351280
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
[SYS: 2025-02-02 16:36:52][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-2133438608
