isOffTrack check: left=0, right=0, total=1224441344
isOffTrack check: left=0, right=0, total=1227536464
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1244749872
isOffTrack check: left=0, right=0, total=1243237488
isOffTrack check: left=0, right=0, total=1244443392
isOffTrack check: left=0, right=0, total=1224254736
isOffTrack check: left=0, right=0, total=1280598592
isOffTrack check: left=0, right=0, total=1224255664
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224103712
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224103776
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224441344
isOffTrack check: left=0, right=0, total=1260130656
isOffTrack check: left=0, right=0, total=1224468256
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224103728
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224255664
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=1289886496
isOffTrack check: left=0, right=0, total=1224389392
isOffTrack check: left=0, right=0, total=1224251632
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1289886496
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224421568
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224421632
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224012176
isOffTrack check: left=0, right=0, total=1246162480
isOffTrack check: left=0, right=0, total=1224421632
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1223956112
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224421632
isOffTrack check: left=0, right=0, total=1262002320
isOffTrack check: left=0, right=0, total=1223951776
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224421632
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224574864
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224421632
isOffTrack check: left=0, right=0, total=-952141904
