[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1320924832
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
[SYS: 2025-02-02 14:58:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1640644432
