isOffTrack check: left=0, right=0, total=-456498704
isOffTrack check: left=0, right=0, total=-436749232
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456404944
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=-402469696
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-419960144
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456498768
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-435445456
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456498768
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456498768
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-455448080
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493568
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493632
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493568
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493632
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493568
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493632
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493568
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493632
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493568
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493632
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493568
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493632
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493568
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493632
isOffTrack check: left=0, right=0, total=1982616752
isOffTrack check: left=0, right=0, total=-456493568
isOffTrack check: left=0, right=0, total=1982616752
