[SYS: 2024-11-23 14:15:30][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1855597200
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1947941728
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1947941728
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1947941728
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1947941728
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1947941728
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1858209552
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1853703600
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1853680528
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1854617536
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1820583408
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1875072128
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1874434912
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1838835216
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1855421008
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1854032480
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1845183168
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1854032480
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1875256768
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1845864544
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1876390256
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1839713440
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1855432976
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1854725632
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1855360048
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1875191808
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1875520496
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1875083744
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1855588848
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1854725632
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1820291456
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1853249392
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1875141600
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1875141600
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1820291456
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1839509280
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1854728656
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1839509280
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1838436224
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1875072128
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1874381856
[SYS: 2024-11-23 14:15:31][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1877493408
