Times,I Value,J Value
14:08:01,2464.000000,682.666626
14:08:01,2464.000000,682.666626
14:08:01,2464.065430,682.666626
14:08:01,2464.194580,682.664551
14:08:01,2464.386719,682.660461
14:08:01,2464.640381,682.657288
14:08:01,2464.954346,682.652466
14:08:01,2465.327881,682.644531
14:08:01,2465.759521,682.635559
14:08:01,2466.248291,682.625305
14:08:01,2466.793213,682.611938
14:08:01,2467.393066,682.597534
14:08:01,2468.046631,682.581848
14:08:01,2468.753174,682.562805
14:08:01,2469.511963,682.540649
14:08:01,2470.321777,682.515442
14:08:01,2471.181152,682.489136
14:08:01,2472.089844,682.459351
14:08:01,2473.046631,682.426147
14:08:01,2474.050537,682.389465
14:08:01,2475.100830,682.351440
14:08:01,2476.197998,682.308044
14:08:01,2477.341553,682.262939
14:08:01,2478.531982,682.212280
14:08:01,2479.768799,682.157715
14:08:01,2481.052246,682.099060
14:08:01,2482.381836,682.036194
14:08:01,2483.757812,681.968994
14:08:01,2485.180176,681.897278
14:08:01,2486.648682,681.819153
14:08:01,2488.163330,681.735779
14:08:02,2489.724121,681.647217
14:08:02,2491.331055,681.551697
14:08:02,2492.984375,681.454651
14:08:02,2494.683350,681.350281
14:08:02,2496.428223,681.237427
14:08:02,2498.218750,681.117432
14:08:02,2500.054932,680.989014
14:08:02,2501.936768,680.853271
14:08:02,2503.864258,680.708801
14:08:02,2505.837646,680.559509
14:08:02,2507.856934,680.405212
14:08:02,2509.921875,680.243774
14:08:02,2512.031738,680.071228
14:08:02,2514.186768,679.887085
14:08:02,2516.386719,679.692749
14:08:02,2518.632080,679.491638
14:08:02,2520.922852,679.282410
14:08:02,2523.258789,679.065369
14:08:02,2525.639893,678.838928
14:08:02,2528.065918,678.603638
14:08:02,2530.536865,678.358093
14:08:02,2533.052734,678.102905
14:08:02,2535.613281,677.836853
14:08:02,2538.218506,677.560547
14:08:02,2540.868408,677.272827
14:08:02,2543.562744,676.974304
14:08:02,2546.301270,676.663879
14:08:02,2549.084229,676.340820
14:08:02,2551.911377,676.005920
14:08:02,2554.782471,675.658142
14:08:02,2557.697754,675.298157
14:08:02,2560.656738,674.924927
14:08:02,2563.659668,674.539185
14:08:02,2566.706299,674.139832
14:08:02,2569.796631,673.726196
14:08:02,2572.931152,673.302002
14:08:02,2576.108887,672.863098
14:08:02,2579.330566,672.451416
14:08:02,2582.597412,672.041870
14:08:02,2585.909180,671.632935
14:08:02,2589.266113,671.226196
14:08:02,2592.667969,670.821167
14:08:02,2596.114746,670.419067
14:08:02,2599.606689,670.020630
14:08:02,2603.143799,669.627808
14:08:02,2606.725830,669.240845
14:08:02,2610.352783,668.857056
14:08:02,2614.024658,668.477112
14:08:02,2617.741455,668.103027
14:08:02,2621.503174,667.735229
14:08:02,2625.309570,667.374207
14:08:02,2629.160645,667.021729
14:08:02,2633.056396,666.677917
14:08:02,2636.996826,666.343018
14:08:02,2640.981689,666.017395
14:08:02,2645.010986,665.702515
14:08:02,2649.084473,665.398438
14:08:02,2653.202148,665.105286
14:08:02,2657.363770,664.818848
14:08:02,2661.569336,664.544373
14:08:03,2665.818848,664.283203
14:08:03,2670.112061,664.035217
14:08:03,2674.448975,663.800476
14:08:03,2678.829346,663.574585
14:08:03,2683.253174,663.362732
14:08:03,2687.720215,663.165039
14:08:03,2692.230225,662.981567
14:08:03,2696.783203,662.812439
14:08:03,2701.379150,662.653259
14:08:03,2706.017822,662.504822
14:08:03,2710.699219,662.367737
14:08:03,2715.423340,662.242615
14:08:03,2720.189941,662.130066
14:08:03,2724.999023,662.029358
14:08:03,2729.850342,661.941223
14:08:03,2734.743896,661.865051
14:08:03,2739.679443,661.801697
14:08:03,2744.656982,661.750488
14:08:03,2749.676514,661.711060
14:08:03,2754.737793,661.684326
14:08:03,2759.840576,661.669739
14:08:03,2764.984619,661.671509
14:08:03,2770.169922,661.690125
14:08:03,2775.396240,661.725830
14:08:03,2780.663574,661.777649
14:08:03,2785.971924,661.846191
14:08:03,2791.321533,661.927307
14:08:03,2796.711914,662.026306
14:08:03,2802.142822,662.144714
14:08:03,2807.614258,662.282532
14:08:03,2813.125977,662.439941
14:08:03,2818.678467,662.612671
14:08:03,2824.271240,662.805786
14:08:03,2829.903809,663.020691
14:08:03,2835.576660,663.226013
14:08:03,2841.290527,663.437195
14:08:03,2847.045166,663.658081
14:08:03,2852.840576,663.887878
14:08:03,2858.676758,664.125854
14:08:03,2864.553711,664.371338
14:08:03,2870.471436,664.618042
14:08:03,2876.430176,664.864990
14:08:03,2882.429932,665.111267
14:08:03,2888.470459,665.354736
14:08:03,2894.551758,665.594910
14:08:03,2900.674072,665.833313
14:08:03,2906.837158,666.069458
14:08:03,2913.041016,666.301392
14:08:03,2919.285645,666.527466
14:08:03,2925.571045,666.746277
14:08:03,2931.896973,666.960938
14:08:03,2938.263428,667.165283
14:08:03,2944.670410,667.359436
14:08:03,2951.117676,667.542114
14:08:03,2957.605225,667.712280
14:08:03,2964.133057,667.870239
14:08:03,2970.700928,668.014832
14:08:03,2977.308838,668.146301
14:08:03,2983.956543,668.263611
14:08:03,2990.644043,668.367126
14:08:04,2997.371094,668.455750
14:08:04,3004.137695,668.529907
14:08:04,3010.943848,668.588562
14:08:04,3017.789307,668.632080
14:08:04,3024.673828,668.659485
14:08:04,3031.597412,668.671143
14:08:04,3038.559814,668.666138
14:08:04,3045.561035,668.643738
14:08:04,3052.601074,668.604370
14:08:04,3059.679688,668.548340
14:08:04,3066.797119,668.474792
14:08:04,3073.952881,668.382935
14:08:04,3081.146973,668.273315
14:08:04,3088.379395,668.146240
14:08:04,3095.650146,668.000793
14:08:04,3102.959229,667.837463
14:08:04,3110.306152,667.655396
14:08:04,3117.691162,667.455017
14:08:04,3125.114014,667.235413
14:08:04,3132.574707,666.997131
14:08:04,3140.073242,666.739197
14:08:04,3147.609375,666.462158
14:08:04,3155.183105,666.165100
14:08:04,3162.794189,665.848511
14:08:04,3170.442627,665.511597
14:08:04,3178.128418,665.154724
14:08:04,3185.851318,664.777100
14:08:04,3193.611328,664.379150
14:08:04,3201.408203,663.960083
14:08:04,3209.241943,663.520325
14:08:04,3217.112549,663.059021
14:08:04,3225.019775,662.576660
14:08:04,3232.963623,662.072449
14:08:04,3240.943848,661.546753
14:08:04,3248.960449,660.998840
14:08:04,3257.013184,660.427979
14:08:04,3265.102051,659.834656
14:08:04,3273.227051,659.219238
14:08:04,3281.387939,658.580933
14:08:04,3289.584717,657.920166
14:08:04,3297.817139,657.236084
14:08:04,3306.085205,656.529175
14:08:04,3314.388916,655.798645
14:08:04,3322.727783,655.043823
14:08:04,3331.102051,654.265137
14:08:04,3339.511475,653.462952
14:08:04,3347.956055,652.636475
14:08:04,3356.435303,651.785034
14:08:04,3364.949463,650.909119
14:08:04,3373.499512,650.016602
14:08:04,3382.085449,649.107361
14:08:04,3390.707520,648.182312
14:08:04,3399.365234,647.241150
14:08:04,3408.058838,646.284729
14:08:04,3416.788574,645.313782
14:08:04,3425.554443,644.330078
14:08:04,3434.356445,643.334106
14:08:04,3443.194824,642.327576
14:08:04,3452.069580,641.311829
14:08:04,3460.980957,640.288269
14:08:05,3469.929199,639.258179
14:08:05,3478.914307,638.223877
14:08:05,3487.936279,637.186279
14:08:05,3496.995605,636.147461
14:08:05,3506.092041,635.108276
14:08:05,3515.225830,634.070618
14:08:05,3524.396973,633.036194
14:08:05,3533.605469,632.006714
14:08:05,3542.851562,630.983643
14:08:05,3552.134766,629.963013
14:08:05,3561.455566,628.950989
14:08:05,3570.813965,627.948853
14:08:05,3580.209961,626.957886
14:08:05,3589.643311,625.978210
14:08:05,3599.114014,625.011108
14:08:05,3608.622070,624.053345
14:08:05,3618.167480,623.109497
14:08:05,3627.750000,622.180725
14:08:05,3637.369873,621.268005
14:08:05,3647.026855,620.371277
14:08:05,3656.720947,619.491516
14:08:05,3666.451904,618.625366
14:08:05,3676.219727,617.777161
14:08:05,3686.024414,616.947937
14:08:05,3695.865723,616.137390
14:08:05,3705.743408,615.346497
14:08:05,3715.657715,614.574951
14:08:05,3725.608398,613.823669
14:08:05,3735.595215,613.093567
14:08:05,3745.618164,612.384216
14:08:05,3755.677002,611.700989
14:08:05,3765.771484,611.044373
14:08:05,3775.899902,610.427002
14:08:05,3786.063232,609.841187
14:08:05,3796.261230,609.288208
14:08:05,3806.493164,608.775024
14:08:05,3816.758545,608.303528
14:08:05,3827.057617,607.871216
14:08:05,3837.389893,607.480164
14:08:05,3847.754150,607.137939
14:08:05,3858.149902,606.847168
14:08:05,3868.232910,606.616211
14:08:05,3878.003418,606.441223
14:08:05,3887.459473,606.328369
14:08:05,3896.601318,606.272827
14:08:05,3905.427490,606.278748
14:08:05,3913.939209,606.340637
14:08:05,3922.134766,606.460999
14:08:05,3930.360840,606.643799
14:08:05,3938.616943,606.889771
14:08:05,3946.902832,607.198486
14:08:05,3955.217529,607.570862
14:08:05,3963.560791,608.007629
14:08:05,3971.931885,608.508423
14:08:05,3980.330566,609.074036
14:08:05,3988.756104,609.704163
14:08:05,3997.208008,610.399658
14:08:05,4005.686035,611.160156
14:08:05,4014.189453,611.986572
14:08:05,4022.717773,612.878601
14:08:06,4031.270264,613.837158
14:08:06,4039.846680,614.861877
14:08:06,4048.116211,615.908936
14:08:06,4056.079590,616.976013
14:08:06,4064.066406,618.110107
14:08:06,4072.076172,619.310791
14:08:06,4080.108398,620.577698
14:08:06,4088.161133,621.914368
14:08:06,4096.235840,623.316345
14:08:06,4104.330078,624.788330
14:08:06,4112.363770,626.337402
14:08:06,4120.344238,627.952942
14:08:06,4128.273438,629.632324
14:08:06,4136.146973,631.379883
14:08:06,4143.966309,633.193481
14:08:06,4151.729492,635.074524
14:08:06,4159.432129,637.027344
14:08:06,4167.075195,639.050293
14:08:06,4174.656250,641.145691
14:08:06,4182.173340,643.314514
14:08:06,4189.626465,645.555542
14:08:06,4197.013184,647.870422
14:08:06,4204.331543,650.259766
14:08:06,4211.579102,652.724976
14:08:06,4218.753906,655.266235
14:08:06,4225.854004,657.883667
14:08:06,4232.879883,660.575317
14:08:06,4239.826660,663.343872
14:08:06,4246.752930,666.218811
14:08:06,4253.656250,669.200500
14:08:06,4260.535156,672.289062
14:08:06,4267.387695,675.483826
14:08:06,4274.212402,678.784241
14:08:06,4281.008301,682.189819
14:08:06,4287.720703,685.661987
14:08:06,4294.349121,689.199463
14:08:06,4300.943848,692.841003
14:08:06,4307.508301,696.582947
14:08:06,4314.041504,700.424316
14:08:06,4320.538574,704.366638
14:08:06,4326.952637,708.364746
14:08:06,4333.282715,712.417725
14:08:06,4339.524902,716.526917
14:08:06,4345.727539,720.734253
14:08:06,4351.894531,725.035889
14:08:06,4358.020996,729.433472
14:08:06,4364.106934,733.925415
14:08:06,4370.151367,738.511047
14:08:06,4376.154297,743.188904
14:08:06,4382.114258,747.958496
14:08:06,4388.031250,752.818481
14:08:06,4393.900391,757.770203
14:08:06,4399.725586,762.810425
14:08:06,4405.500977,767.940491
14:08:06,4411.225098,773.160278
14:08:06,4416.829590,778.475769
14:08:06,4422.301758,783.836731
14:08:06,4427.635742,789.241699
14:08:06,4432.828125,794.689514
14:08:06,4437.878418,800.179321
14:08:07,4442.818359,805.764038
14:08:07,4447.642090,811.442627
14:08:07,4452.342773,817.213684
