Times,Angle,Cur,Diff,Control
00:03.45,12.741914,-6.0,18.741913,0.937096
00:03.47,13.049932,-6.0,19.049932,0.483949
00:03.48,13.369388,-6.0,19.369389,0.492221
00:03.50,13.691506,-6.0,19.691505,0.500341
00:03.52,14.019728,-5.0,19.019728,0.458699
00:03.53,14.354161,-4.0,18.35416,0.442215
00:03.55,14.694205,-3.0,17.694206,0.425856
00:03.56,15.040047,-2.0,17.040047,0.409647
00:03.58,15.391139,-1.0,16.39114,0.393556
00:03.60,15.747364,0.0,15.747364,0.37759
00:03.61,16.107927,1.0,15.107927,0.361712
00:03.63,16.47179,2.0,14.47179,0.345891
00:03.64,16.837923,4.0,12.837923,0.280101
00:03.66,17.205786,5.0,12.205786,0.289341
00:03.68,17.57411,7.0,10.57411,0.223561
00:03.69,17.942045,9.0,8.942045,0.18275
00:03.71,18.308256,11.0,7.308256,0.141862
00:03.72,18.671801,12.0,6.671801,0.150884
00:03.74,19.031252,14.0,5.031252,0.084768
00:03.76,19.385607,16.0,3.385607,0.043499
00:03.77,19.733501,18.0,1.733501,0.002035
00:03.79,20.074249,19.0,1.074249,0.010375
00:03.80,20.406523,21.0,-0.593477,0.05653
00:03.82,20.728853,22.0,-1.271147,0.04872
00:03.84,21.039892,24.0,-2.960108,0.116227
00:04.76,-15.358876,20.0,-35.358875,1.5
00:04.78,-17.612114,20.0,-37.612114,0.996634
00:04.80,-20.067312,20.0,-40.067314,1.063063
00:04.81,-22.710297,19.0,-41.710297,1.083832
00:04.83,19.910061,18.0,1.910061,1.13826
00:04.84,19.809019,17.0,2.809019,0.092699
00:04.86,19.720798,16.0,3.720798,0.115814
00:04.88,19.647419,14.0,5.647419,0.189351
00:04.89,19.59116,13.0,6.59116,0.188373
00:04.91,19.537968,11.0,8.537968,0.262119
00:04.92,19.489317,10.0,9.489317,0.261017
00:04.94,19.446991,9.0,10.446991,0.285117
00:04.96,20.475124,8.0,12.475124,0.362581
00:04.97,21.230391,7.0,14.230391,0.399641
00:04.99,21.878099,5.0,16.878099,0.488145
00:05.00,22.477833,5.0,17.477833,0.451939
00:05.02,23.034195,4.0,19.034195,0.514764
00:05.04,23.596609,4.0,19.596609,0.503976
00:05.05,24.121445,4.0,20.121445,0.516157
00:05.07,24.621929,5.0,19.621929,0.47806
00:05.08,25.092434,6.0,19.092434,0.464073
00:05.10,25.538755,7.0,18.538755,0.449627
00:05.12,25.959024,9.0,16.959024,0.384482
00:05.13,26.347162,12.0,14.347162,0.293382
00:05.15,26.708149,15.0,11.708149,0.226728
00:05.16,27.038126,18.0,9.038126,0.159203
00:05.18,27.335703,22.0,5.335703,0.040832
00:05.20,27.609499,26.0,1.609499,0.052918
00:05.21,27.856544,30.0,-2.143456,0.14741
00:05.23,28.086403,35.0,-6.913597,0.292093
00:05.24,28.300488,39.0,-10.699512,0.362136
00:05.26,28.500784,43.0,-14.499216,0.457473
00:05.28,28.691185,48.0,-19.308815,0.60296
00:05.29,28.871471,52.0,-23.128529,0.673706
00:05.31,29.009186,55.0,-25.990814,0.721328
00:05.32,29.104052,57.0,-27.895948,0.745027
00:05.34,29.155611,58.0,-28.844389,0.744821
00:05.36,29.201767,58.0,-28.798233,0.718802
00:05.37,29.225016,58.0,-28.774984,0.718793
00:05.39,29.236975,58.0,-28.763025,0.718777
00:05.40,29.244038,58.0,-28.755962,0.718723
00:05.42,29.246988,58.0,-28.753012,0.718751
00:05.44,29.248138,58.0,-28.751862,0.718768
00:05.45,29.248413,58.0,-28.751587,0.718783
00:05.47,29.248098,58.0,-28.751902,0.718805
00:05.48,29.247423,58.0,-28.752577,0.718831
00:05.50,29.246592,58.0,-28.753408,0.718856
00:05.52,29.245693,58.0,-28.754307,0.71888
00:05.53,29.246325,58.0,-28.753675,0.718826
00:05.55,29.249216,58.0,-28.750784,0.718697
00:05.56,29.251318,58.0,-28.748682,0.718664
00:05.58,29.253283,58.0,-28.746717,0.718619
00:05.60,29.254848,58.0,-28.745152,0.71859
00:05.61,29.256384,58.0,-28.743616,0.718552
00:05.63,29.257875,58.0,-28.742125,0.718516
00:05.64,29.259262,58.0,-28.740738,0.718484
00:05.66,29.260637,58.0,-28.739363,0.71845
00:05.68,29.261976,58.0,-28.738024,0.718417
00:05.69,29.263243,58.0,-28.736757,0.718387
00:05.71,29.264482,58.0,-28.735518,0.718357
00:05.72,29.265663,58.0,-28.734337,0.718329
00:05.74,29.266722,58.0,-28.733278,0.718306
00:05.76,29.267872,58.0,-28.732128,0.718274
00:05.77,29.269037,58.0,-28.730963,0.718245
00:05.79,29.270271,58.0,-28.729729,0.718212
00:05.80,29.27133,58.0,-28.72867,0.71819
00:05.82,29.272352,58.0,-28.727648,0.718166
00:05.84,29.273392,58.0,-28.726608,0.718139
00:05.85,29.274435,59.0,-29.725565,0.768113
00:05.87,29.275366,58.0,-28.724634,0.693093
00:05.88,29.276453,59.0,-29.723547,0.768061
00:05.90,29.277342,58.0,-28.722658,0.693044
00:05.92,29.278416,59.0,-29.721584,0.768013
00:05.93,29.279272,59.0,-29.720728,0.742997
00:05.95,29.280184,59.0,-29.719816,0.742973
00:05.96,29.280905,59.0,-29.719095,0.742959
00:05.98,29.280905,59.0,-29.719095,0.742977
00:06.00,29.280905,59.0,-29.719095,0.742977
00:06.01,29.280905,59.0,-29.719095,0.742977
00:06.03,29.279982,59.0,-29.720018,0.743024
00:06.04,29.279251,59.0,-29.720749,0.743037
00:06.06,29.279251,59.0,-29.720749,0.743019
00:06.08,29.279251,59.0,-29.720749,0.743019
00:06.09,29.279251,59.0,-29.720749,0.743019
00:06.11,29.279856,59.0,-29.720144,0.742988
00:06.12,29.280586,59.0,-29.719414,0.742967
00:06.14,29.280586,59.0,-29.719414,0.742985
00:06.16,29.280586,59.0,-29.719414,0.742985
00:06.17,29.280685,59.0,-29.719315,0.74298
00:06.19,29.280685,59.0,-29.719315,0.742983
00:06.20,29.280685,59.0,-29.719315,0.742983
00:06.22,29.280685,59.0,-29.719315,0.742983
00:06.24,29.278248,59.0,-29.721752,0.743105
00:06.25,29.278248,59.0,-29.721752,0.743044
00:06.27,29.281614,59.0,-29.718386,0.742876
00:06.28,29.282745,59.0,-29.717255,0.742903
00:06.30,29.282745,59.0,-29.717255,0.742931
00:06.32,29.282745,59.0,-29.717255,0.742931
00:06.33,29.279652,59.0,-29.720348,0.743086
00:06.35,29.278627,59.0,-29.721373,0.74306
00:06.36,29.278275,59.0,-29.721725,0.743052
00:06.38,29.278166,59.0,-29.721834,0.743049
00:06.40,29.278107,59.0,-29.721893,0.743049
00:06.41,29.278072,59.0,-29.721928,0.743049
00:06.43,29.278049,59.0,-29.721951,0.743049
00:06.44,29.278049,59.0,-29.721951,0.743049
00:06.46,29.283867,58.0,-28.716133,0.692758
00:06.48,29.295561,58.0,-28.704439,0.717319
00:06.49,29.311985,58.0,-28.688015,0.71679
00:06.51,29.332907,59.0,-29.667093,0.766154
00:06.52,29.357826,59.0,-29.642174,0.740431
00:06.54,29.386652,59.0,-29.613348,0.739613
00:06.56,29.41935,59.0,-29.58065,0.738699
00:06.57,29.455788,59.0,-29.544212,0.737694
00:06.59,29.496042,59.0,-29.503958,0.736593
00:06.60,29.540108,60.0,-30.459892,0.785396
00:06.62,29.587898,60.0,-30.412102,0.759108
