Times,Angle,Cur,Diff,Control
14:10:32,30.499311,60.0,-29.500689,1.475034
14:10:32,60.109661,59.0,1.109661,0.793
14:10:32,60.185604,58.0,2.185604,0.081539
14:10:32,60.279606,56.0,4.279606,0.15934
14:10:32,60.394222,54.0,6.394222,0.212721
14:10:32,60.532898,52.0,8.532898,0.266789
14:10:32,60.6782,51.0,9.6782,0.270588
14:10:32,60.832954,49.0,11.832954,0.349693
14:10:32,60.999664,48.0,12.999664,0.354159
14:10:32,61.181309,47.0,14.181309,0.384074
14:10:32,61.380024,47.0,14.380024,0.364468
14:10:32,61.598488,46.0,15.598488,0.420424
14:10:32,61.838383,46.0,15.838383,0.401957
14:10:32,62.102936,46.0,16.102936,0.409187
14:10:32,62.393597,47.0,15.393597,0.367106
14:10:32,62.712654,47.0,15.712654,0.400793
14:10:32,63.062168,48.0,15.062168,0.360292
14:10:32,63.444645,49.0,14.444645,0.345678
14:10:32,63.861488,50.0,13.861488,0.331958
14:10:32,64.315903,51.0,13.315903,0.319258
14:10:47,149.627258,111.0,38.627258,1.5
14:10:54,-26.771826,301.0,32.22818,0.645728
14:10:54,-26.23958,301.0,32.760406,0.832316
14:10:54,-25.695652,301.0,33.304352,0.846207
14:10:54,-25.146324,301.0,33.853668,0.860075
14:10:54,-24.59199,302.0,33.40802,0.824059
14:10:54,-24.032869,303.0,32.967133,0.813156
14:10:54,-23.468929,304.0,32.531067,0.802375
14:10:54,-22.899817,305.0,32.100189,0.791733
14:10:54,-22.325926,307.0,30.674072,0.731199
14:10:54,-21.74786,309.0,29.252136,0.695755
14:11:10,-8.361646,0.0,-8.361646,1.149386
14:11:10,-8.508613,0.0,-8.508613,0.216389
14:11:10,-8.661171,0.0,-8.661171,0.220343
14:11:10,-8.810733,0.0,-8.810733,0.224007
14:11:10,-8.962378,359.0,-7.962372,0.17785
14:11:10,-9.115932,359.0,-8.115936,0.206738
14:11:10,-9.271134,358.0,-7.271149,0.160659
14:11:10,-9.427519,357.0,-6.427521,0.139597
